resp_id,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
w2020_187,7,6,6,5,4,4,3,5,3,7,2,7,4,3,3,4,6,6,5,5,7,1,7
w2020_188,3,6,3,7,1,6,5,6,1,7,4,7,7,6,2,6,5,6,4,5,7,4,7
w2020_189,6,5,4,6,4,4,6,7,5,7,6,5,5,3,4,6,5,6,4,6,7,1,6
w2020_190,5,6,4,3,3,4,5,5,2,6,5,5,4,2,3,4,5,5,6,3,6,3,6
w2020_191,6,5,5,7,4,4,5,5,3,7,5,7,6,6,3,6,5,6,5,5,7,3,7
w2020_192,7,5,7,7,4,7,4,6,1,6,6,7,7,5,3,6,7,4,6,1,7,2,7
w2020_193,6,7,6,5,5,5,7,5,2,5,4,5,5,3,5,4,4,6,5,4,7,4,7
w2020_194,5,6,4,4,3,6,4,5,1,7,2,5,3,2,4,6,6,6,4,3,6,3,7
w2020_195,5,7,4,5,5,2,6,5,2,5,4,5,3,5,2,4,3,6,6,2,6,1,7
w2020_196,6,5,6,7,3,6,2,4,3,7,2,7,6,3,6,5,6,6,5,2,7,3,6
w2020_197,5,7,7,7,4,3,3,7,1,7,4,7,6,4,4,7,3,4,5,2,7,1,7
w2020_198,7,5,3,7,5,7,5,6,2,7,5,7,6,3,3,7,5,6,7,5,6,1,7
w2020_199,7,4,5,5,4,6,4,6,2,7,4,6,6,4,5,5,6,4,5,4,7,4,7
w2020_200,7,7,5,7,3,6,7,7,1,7,4,7,3,1,2,6,7,6,7,6,7,1,7
w2020_201,5,6,3,7,4,5,6,5,2,7,4,6,6,5,4,6,5,5,6,5,7,3,5
w2020_202,5,4,6,6,3,4,6,5,2,6,3,7,6,4,5,3,4,6,4,5,6,3,7
w2020_203,6,5,5,4,5,5,3,3,1,7,4,7,5,3,3,4,6,5,3,5,7,4,5
w2020_204,5,5,3,4,3,4,4,5,3,6,4,6,3,4,4,4,3,4,3,4,6,4,4
w2020_205,6,6,4,3,4,6,5,7,3,5,4,6,7,3,2,5,5,6,3,4,7,2,7
w2020_206,5,6,4,7,5,5,5,6,2,7,5,7,6,4,3,4,5,6,5,2,7,2,6
w2020_207,6,5,2,6,5,7,5,4,2,5,4,6,6,3,2,5,4,5,5,4,5,4,6
w2020_208,4,6,5,4,3,3,4,3,5,6,3,6,5,3,3,4,5,4,4,3,6,5,5
w2020_209,7,7,6,7,1,5,5,7,2,7,2,7,7,4,3,4,7,7,4,4,7,4,7
w2020_210,4,5,7,6,5,6,5,5,3,6,2,6,5,1,6,3,6,5,2,1,7,4,7
w2020_211,6,6,4,6,5,6,3,5,1,6,3,6,5,5,2,5,4,6,5,5,7,3,6
w2020_212,6,6,6,5,5,6,4,6,2,7,3,7,7,3,5,6,7,3,4,3,7,3,7
w2020_213,6,5,6,7,5,5,5,7,1,7,5,7,5,5,3,6,4,5,5,2,6,3,7
w2020_214,5,6,7,6,4,7,3,3,4,7,3,7,6,6,3,5,4,5,4,3,7,4,6
w2020_215,6,4,3,7,1,3,5,6,1,7,2,7,6,4,1,5,5,7,1,5,7,4,7
w2020_216,5,4,5,5,2,3,6,6,2,4,5,5,6,2,3,4,3,3,6,3,5,5,7
w2020_217,6,5,5,7,3,3,5,6,3,6,5,6,6,2,2,5,6,5,2,5,7,2,6
w2020_218,7,6,5,7,5,1,5,6,5,7,3,7,5,6,1,5,2,5,5,5,6,2,7
w2020_219,5,5,5,7,4,7,4,7,1,7,3,7,4,3,4,5,5,4,4,4,7,3,6
w2020_220,7,6,3,6,6,6,5,7,2,7,5,7,7,5,5,6,5,7,5,4,6,3,7
w2020_221,7,6,5,7,7,5,2,4,3,6,3,7,6,3,6,6,7,5,3,3,7,5,6
w2020_222,7,6,6,7,4,6,4,7,2,7,5,7,7,2,4,6,7,6,4,2,7,3,7
w2020_223,6,4,2,7,4,6,3,7,1,7,2,7,6,2,2,6,6,6,6,4,7,1,7
w2020_224,2,4,5,6,4,2,5,6,3,7,5,7,2,3,2,4,5,3,5,3,6,2,6
w2020_225,5,6,4,7,5,5,7,4,1,7,6,6,5,4,3,6,5,5,5,5,6,2,6
w2020_226,7,6,6,6,6,5,5,5,2,6,3,5,5,6,3,4,7,6,6,3,6,3,6
w2020_227,7,7,4,6,6,6,2,7,1,7,1,7,6,1,2,6,7,6,6,6,7,2,7
w2020_228,6,5,4,7,3,6,4,7,2,5,2,6,6,2,5,5,3,5,4,2,6,3,6
w2020_229,7,2,7,6,2,6,5,6,6,7,1,7,6,2,3,3,7,7,3,4,7,6,7
w2020_230,5,6,2,6,2,4,3,2,6,7,6,5,4,2,2,5,7,6,2,7,6,2,6
w2020_231,7,7,3,5,5,3,4,4,4,7,5,6,7,5,5,6,5,6,5,3,7,2,6
w2020_232,6,6,3,6,4,7,5,6,2,7,5,7,5,5,2,5,7,6,5,5,7,3,7
w2020_233,7,7,5,5,6,4,3,4,2,7,6,5,7,6,5,6,7,6,3,5,7,2,5
w2020_234,6,6,3,7,5,6,5,3,2,7,5,6,6,4,2,4,3,6,6,5,5,2,6
w2020_235,5,7,7,7,5,7,3,7,1,7,5,7,7,6,3,6,7,5,6,5,7,1,7
w2020_236,5,6,3,6,2,5,5,7,2,7,5,7,5,2,3,4,3,5,5,3,6,1,7
w2020_237,5,3,5,6,4,6,3,6,2,7,4,6,5,5,3,5,5,5,1,4,6,3,6
w2020_238,6,5,2,4,1,5,3,6,2,7,2,7,2,1,2,5,3,5,4,6,7,1,7
w2020_239,5,7,2,6,5,7,6,7,1,6,6,7,3,4,2,6,1,6,3,5,7,1,7
w2020_240,7,6,3,6,6,7,7,6,2,7,5,6,5,5,3,6,3,3,4,4,5,2,7
w2020_241,7,7,4,5,4,5,6,4,4,7,4,5,5,4,4,6,4,7,4,4,7,4,6
w2020_242,6,5,5,7,6,6,5,6,5,6,6,7,7,5,5,5,6,5,6,4,7,4,6
w2020_243,6,3,6,1,7,7,6,4,1,7,5,6,7,3,6,6,6,7,7,4,7,1,7
w2020_244,7,7,7,7,5,5,6,6,1,7,7,7,5,6,3,7,4,5,6,5,7,1,7
w2020_245,7,6,7,4,5,5,5,6,1,6,5,7,5,1,4,7,6,7,6,5,7,1,7
w2020_246,7,7,7,7,6,4,5,6,1,7,5,7,4,1,1,6,2,6,5,2,7,1,7
w2020_247,7,7,7,6,5,3,5,5,1,7,3,6,7,3,5,4,7,6,6,5,1,1,7
w2020_248,7,6,5,7,4,5,4,6,1,4,4,6,6,4,2,4,5,6,5,4,6,2,7
w2020_249,5,7,4,6,4,6,3,7,3,7,2,7,5,1,3,7,2,5,5,5,7,1,7
w2020_250,7,6,2,4,6,5,6,5,1,7,6,5,7,4,3,6,4,6,6,3,6,2,5
w2020_251,7,5,7,6,4,7,5,5,3,7,5,7,7,4,4,5,7,7,4,3,7,2,6
w2020_252,7,7,4,7,5,7,6,7,7,7,5,7,7,3,3,6,5,7,5,3,7,1,7
w2020_253,7,6,7,7,4,4,2,6,1,7,3,7,7,1,5,4,4,5,1,2,7,1,7
w2020_254,6,6,4,6,5,6,6,6,2,7,6,6,6,3,5,5,5,6,4,6,7,1,6
w2020_255,5,7,3,6,2,4,7,6,1,6,5,7,5,6,1,6,4,7,4,7,6,1,7
w2020_256,7,6,3,7,4,5,2,4,6,6,3,6,6,5,4,4,6,5,4,4,6,3,6
w2020_257,6,4,5,6,7,6,5,6,3,6,3,6,6,6,6,6,6,6,5,3,7,4,7
w2020_258,6,5,7,6,4,5,3,5,6,7,5,5,6,3,3,7,3,6,3,6,7,2,7
w2020_259,7,5,4,7,5,5,6,7,1,7,5,7,7,5,3,6,3,7,5,5,6,2,7
w2020_260,7,6,7,7,5,5,6,5,3,5,3,5,4,2,3,4,6,3,4,3,7,4,6
w2020_261,7,5,5,6,4,3,4,7,6,7,6,5,6,3,2,6,5,7,4,5,7,2,7
w2020_262,4,6,3,6,4,3,5,3,3,5,5,6,3,5,3,5,3,6,5,2,6,3,5
w2020_263,6,6,3,7,6,7,6,6,3,7,3,7,7,5,6,6,7,6,7,3,6,2,7
w2020_264,5,3,4,6,4,5,4,3,6,7,2,7,6,3,2,5,5,5,4,4,7,2,5
w2020_265,6,5,4,6,5,5,5,4,5,4,5,6,4,2,4,5,5,5,3,5,6,4,6
w2020_266,5,6,7,6,4,3,3,4,1,5,4,5,6,4,5,4,7,3,2,1,7,1,5
w2020_267,5,5,4,6,6,6,6,3,1,7,3,5,5,5,3,5,4,6,4,4,7,1,7
w2020_268,6,6,6,5,5,6,4,3,2,6,4,5,6,2,3,4,4,4,5,4,6,3,6
w2020_269,6,5,4,6,1,3,1,5,1,7,3,6,5,2,2,6,6,5,3,2,7,1,7
w2020_270,6,5,4,5,2,5,6,6,3,7,4,6,6,1,5,5,5,5,5,4,5,3,7
w2020_271,7,6,4,5,5,5,4,4,1,7,3,5,3,3,3,5,6,4,5,3,7,1,6
w2020_272,7,7,2,7,6,4,6,7,1,7,5,7,7,6,3,7,4,6,7,6,4,1,7
w2020_273,7,7,6,7,6,6,7,5,1,7,7,7,6,4,3,6,3,6,6,4,6,2,7
w2020_274,7,5,4,7,5,3,6,7,1,7,3,7,7,5,3,5,4,6,5,5,6,1,7
w2020_275,6,4,4,7,5,7,4,7,6,6,4,7,5,4,2,6,5,5,5,2,2,1,7
w2020_276,3,5,5,5,4,5,5,5,3,5,4,5,5,5,3,5,5,5,6,5,5,3,5
w2020_277,7,6,7,6,4,5,5,6,3,5,4,6,5,3,4,5,5,5,5,3,6,3,6
w2020_278,7,7,5,7,4,7,6,7,1,7,6,7,7,4,2,5,5,7,6,4,7,2,7
w2020_279,6,7,5,7,5,6,4,5,2,5,4,7,7,4,4,4,5,5,3,3,7,2,6
w2020_280,6,6,4,6,4,6,3,5,2,6,5,6,6,2,2,6,5,3,3,5,6,4,6
w2020_281,7,7,3,5,5,6,3,6,1,7,5,7,6,3,2,7,6,4,5,3,7,1,7
w2020_282,5,6,7,4,4,5,5,5,3,5,4,5,4,3,5,4,4,5,4,4,7,4,5
w2020_283,7,2,5,6,5,6,5,4,1,6,5,6,6,2,3,6,6,6,6,5,6,2,7
w2020_284,6,6,6,6,6,5,3,5,1,7,5,6,6,3,3,6,6,6,5,5,7,2,7
w2020_285,5,5,5,6,4,5,3,6,3,5,3,6,5,5,4,5,5,3,4,3,5,3,6
w2020_286,6,7,7,7,5,6,6,5,2,6,5,7,6,7,6,6,7,7,6,5,7,3,7
w2020_287,7,6,7,7,3,3,4,4,1,7,2,6,6,1,5,4,5,6,3,2,7,4,6
w2020_288,6,6,4,6,5,5,3,5,3,5,5,5,4,4,3,4,3,3,5,3,5,3,7
w2020_289,7,6,4,6,5,6,2,4,5,5,5,7,7,5,4,5,3,5,5,4,7,2,7
w2020_290,6,6,3,3,3,3,4,3,3,7,3,5,4,5,2,5,6,6,7,3,6,2,7
w2020_291,3,5,5,7,7,5,7,5,1,7,5,7,5,3,3,5,5,6,7,5,7,2,7
w2020_292,6,5,3,7,6,7,6,6,2,6,3,6,6,6,4,5,5,6,4,6,6,4,6
w2020_293,6,5,7,5,7,4,3,5,3,6,3,7,3,5,4,5,5,5,4,5,7,3,7
w2020_294,5,5,6,7,5,7,6,6,2,7,2,7,7,3,3,6,7,6,5,6,7,2,6
w2020_295,7,6,6,3,6,7,4,6,2,7,3,7,6,3,3,4,6,6,6,4,7,3,7
w2020_296,5,7,3,6,4,3,5,6,1,6,3,6,3,4,3,5,6,7,5,3,5,3,7
w2020_297,6,5,6,6,5,5,6,5,3,6,4,6,4,3,4,5,6,6,3,4,7,3,6
w2020_298,7,7,6,6,5,5,6,5,3,6,4,6,5,5,4,5,6,5,3,4,7,3,7
w2020_299,6,6,5,7,3,7,5,6,6,7,1,7,3,3,3,5,7,7,5,4,7,3,7
w2020_300,7,6,2,5,3,3,5,6,3,6,5,6,4,3,2,5,3,6,3,4,5,1,6
w2020_301,7,7,5,5,5,6,7,5,1,6,5,7,6,5,5,7,6,7,5,3,5,2,7
w2020_302,6,5,4,6,5,6,5,6,1,7,5,7,6,4,4,6,5,6,5,3,7,2,7
w2020_303,5,6,4,7,5,5,7,7,1,5,6,7,6,5,3,6,2,7,5,5,3,1,7
w2020_304,7,6,4,5,3,7,6,3,2,7,3,7,5,4,4,5,7,6,2,5,7,2,7
w2020_305,5,7,4,7,4,7,4,4,1,7,4,7,7,5,3,6,5,5,5,2,7,1,7
w2020_306,6,4,5,5,5,5,5,5,3,6,5,6,6,3,4,5,5,6,5,5,7,3,6
w2020_307,6,6,4,7,6,6,5,6,3,6,5,6,5,4,3,6,4,5,4,3,6,2,6
w2020_308,6,6,2,5,4,3,6,6,2,7,4,5,3,6,3,5,2,6,4,3,5,4,6
w2020_309,5,4,6,7,2,6,3,6,3,7,2,7,7,3,3,5,7,2,2,2,7,4,6
w2020_310,6,6,2,6,1,4,4,7,6,7,4,7,1,1,4,1,2,4,1,1,7,7,7
w2020_311,7,7,4,4,4,5,3,5,2,6,5,6,5,3,3,5,6,5,3,4,2,1,6
w2020_312,7,5,7,4,5,7,6,4,3,7,1,3,7,2,7,3,7,5,4,3,7,4,6
w2020_313,6,7,4,7,4,6,4,7,3,6,4,7,6,4,6,6,5,6,4,4,7,2,7
w2020_314,6,7,2,5,5,2,6,5,1,4,6,5,3,5,1,6,2,7,2,6,6,1,6
w2020_315,5,6,3,6,5,4,5,6,2,6,5,6,3,5,3,5,7,5,5,4,7,3,6
w2020_316,6,6,7,5,5,5,6,5,3,7,4,5,6,2,3,5,6,5,7,3,7,1,6
w2020_317,5,7,4,4,3,5,4,6,1,7,4,6,4,1,1,6,7,7,1,6,7,4,7
w2020_318,6,5,5,7,6,7,4,6,3,7,6,7,6,4,5,5,7,6,6,5,6,3,6
w2020_319,7,7,4,7,6,7,2,7,3,7,1,7,7,4,5,7,5,7,7,4,4,2,7
w2020_320,6,4,2,6,3,3,4,7,2,7,5,7,5,1,4,6,5,7,5,6,7,1,6
w2020_321,7,5,5,7,1,2,2,6,4,7,6,7,7,1,5,4,6,6,4,3,7,4,7
w2020_322,7,4,3,5,4,6,6,4,1,7,4,2,5,2,3,5,3,6,3,3,6,4,4
w2020_323,7,7,3,6,6,6,7,6,1,6,5,6,6,5,1,5,2,5,7,5,3,1,7
w2020_324,6,5,4,5,3,4,5,7,1,7,6,7,5,4,1,5,5,6,5,3,7,2,7
w2020_325,6,4,6,6,4,5,5,4,2,6,3,6,6,4,6,5,7,5,4,2,6,3,6
w2020_326,6,4,1,5,4,2,4,7,2,3,3,6,7,6,1,7,3,6,5,2,6,1,7
w2020_327,6,5,4,5,5,6,5,4,2,7,2,6,4,3,3,5,4,6,5,5,7,2,5
w2020_328,7,7,4,7,4,4,5,7,1,7,4,7,7,1,1,5,4,7,3,5,7,1,7
w2020_329,6,6,7,4,5,7,4,6,2,6,3,6,6,5,4,6,5,6,6,3,7,3,7
w2020_330,6,6,6,6,4,6,6,4,2,6,6,6,6,3,2,6,5,6,6,5,6,2,5
w2020_331,7,4,6,6,5,6,3,6,5,7,5,6,6,6,4,5,7,6,5,5,6,3,5
w2020_332,6,7,5,5,5,5,5,6,1,5,4,7,5,5,3,6,5,5,6,4,7,2,7
w2020_333,6,5,7,7,2,7,2,6,2,7,3,6,6,2,4,6,6,5,5,2,6,4,7
w2020_334,5,5,4,5,3,4,5,4,4,5,5,5,3,4,4,5,4,5,3,4,4,2,4
w2020_335,7,4,4,5,5,5,6,6,2,6,5,5,5,4,2,6,5,6,5,5,7,2,6
w2020_336,7,5,6,7,3,7,5,6,1,7,2,7,6,1,5,5,5,5,3,5,7,3,6
w2020_337,7,6,4,5,5,6,5,7,1,7,3,7,7,5,2,6,2,5,5,3,7,3,7
w2020_338,3,4,4,5,2,4,3,6,2,5,5,5,6,4,3,5,4,6,4,5,6,2,7
w2020_339,6,6,7,7,4,5,6,4,1,7,6,7,5,4,3,5,4,6,6,4,6,1,7
w2020_340,6,6,6,5,5,3,3,3,2,6,3,6,6,2,3,5,7,5,3,3,7,3,5
w2020_341,5,6,5,6,5,6,6,6,2,7,4,5,5,4,4,5,4,4,5,6,6,1,7
w2020_342,5,6,2,6,2,5,4,5,1,6,4,5,3,3,4,5,3,5,4,6,6,3,7
w2020_343,7,5,1,6,6,7,6,6,2,7,5,7,7,2,6,7,7,5,7,6,7,2,7
w2020_344,6,5,3,5,4,5,5,6,3,6,4,5,3,4,3,5,6,3,2,4,7,3,6
w2020_345,5,4,2,5,6,6,6,6,2,6,6,6,6,4,2,5,5,5,5,5,6,2,5
w2020_346,3,6,2,7,4,7,3,6,3,4,1,7,7,5,4,5,5,6,5,4,7,2,7
w2020_347,7,6,4,5,4,5,6,6,2,7,5,6,6,5,2,6,6,6,5,5,7,3,6
w2020_348,7,7,3,7,6,4,5,7,2,7,3,4,6,5,3,6,6,6,5,5,1,3,7
w2020_349,5,7,2,6,5,3,5,4,2,6,5,4,5,4,3,5,2,4,5,7,5,3,5
w2020_350,7,6,3,4,3,5,3,5,3,5,4,5,5,3,3,3,4,5,4,4,5,3,4
w2020_351,7,4,5,7,4,7,5,7,3,7,5,7,7,2,5,3,6,5,5,4,6,5,7
w2020_352,6,5,5,5,3,4,4,4,4,5,5,5,5,3,4,4,5,5,3,3,5,3,4
w2020_353,4,6,3,5,6,3,5,5,2,7,5,5,6,6,3,6,3,4,5,7,6,5,4
w2020_354,4,6,3,7,6,6,4,6,3,6,2,6,6,2,3,5,6,5,4,3,7,2,7
w2020_355,6,7,7,7,5,5,6,6,3,6,5,7,7,3,3,6,4,6,5,3,7,1,6
w2020_356,7,6,6,6,5,5,3,5,4,7,5,6,5,4,5,6,3,5,5,5,7,3,6
w2020_357,6,6,7,7,4,7,4,7,2,6,4,7,6,4,4,5,6,6,4,4,7,4,7
w2020_358,7,5,6,7,5,7,6,7,1,7,6,7,7,3,1,6,4,6,4,6,7,1,6
w2020_359,7,7,1,7,4,7,7,7,1,7,7,7,7,4,4,7,4,7,4,4,7,1,7
w2020_360,7,6,6,6,5,5,4,5,2,7,5,6,6,4,4,6,7,6,6,5,7,2,5
w2020_361,7,7,7,7,6,7,7,7,1,7,5,7,7,4,4,7,7,6,6,4,7,3,7
w2020_362,6,7,7,6,2,7,2,6,4,7,5,7,6,2,3,5,7,5,1,4,7,2,7
w2020_363,5,6,3,5,5,4,6,5,2,4,5,5,4,6,3,5,4,5,5,5,7,2,7
w2020_364,4,6,3,6,6,6,6,4,2,7,2,6,5,5,4,4,3,6,5,2,6,2,5
w2020_365,6,6,4,6,5,5,6,6,2,4,6,6,5,3,3,6,4,6,6,5,2,4,6
w2020_366,7,6,2,6,2,3,5,5,1,7,5,5,6,3,4,4,6,7,4,3,7,3,7
w2020_367,5,7,3,7,5,3,5,5,1,5,4,7,3,2,2,6,5,6,5,5,7,2,7
w2020_368,6,5,4,7,5,4,5,4,3,7,4,6,5,3,3,6,3,5,5,6,6,3,6
w2020_369,7,6,6,5,4,4,5,6,2,6,5,5,5,3,2,5,3,5,4,4,6,3,6
w2020_370,3,6,3,5,4,6,4,5,2,6,4,5,5,3,4,4,4,6,5,3,5,1,6
w2020_371,3,5,1,6,1,3,5,5,1,7,5,6,3,3,1,6,3,7,5,5,6,1,6
w2020_372,5,7,5,7,6,5,6,7,2,5,3,7,5,5,3,6,5,5,5,1,7,1,7
w2020_373,7,6,5,6,4,7,3,7,1,7,2,7,5,5,3,7,7,5,6,4,7,3,7
w2020_374,7,5,6,6,5,5,5,6,3,5,5,7,7,3,3,5,5,6,4,3,7,3,7
w2020_375,6,6,3,5,5,6,5,5,2,7,5,5,7,3,2,6,2,6,5,6,6,3,6
